anio,n,entidad,agegrp,women,child_born_13 ,child_born,child_dead_13,child_dead
2010,8,Chihuahua,20-24,139698,127114,126501,3345,3331
2010,8,Chihuahua,25-29,126489,209887,208258,5910,5893
2010,8,Chihuahua,30-34,125320,283537,279039,8680,8630
2010,8,Chihuahua,35-39,129704,337801,329215,12348,12263
2010,8,Chihuahua,40-44,111415,316201,303840,14473,14318
2010,8,Chihuahua,45-49,92706,287249,270631,17010,16794
2010,9,Ciudad de Mexico,15-19,352646,40551,40470,877,877
2010,9,Ciudad de Mexico,20-24,375249,202341,201124,4483,4447
2010,9,Ciudad de Mexico,25-29,368890,365184,363297,8093,8067
2010,9,Ciudad de Mexico,30-34,362259,528025,524409,12333,12278
2010,9,Ciudad de Mexico,35-39,376224,686108,679643,17705,17651
2010,9,Ciudad de Mexico,40-44,331434,696508,686347,21849,21752
2010,9,Ciudad de Mexico,45-49,296890,690757,674919,26042,25919
2010,10,Durango,15-19,80158,14532,14514,293,293
2010,10,Durango,20-24,71867,61838,61521,1509,1498
2010,10,Durango,25-29,60140,101387,100535,2814,2794
2010,10,Durango,30-34,59573,141594,138941,4356,4345
2010,10,Durango,35-39,58112,163660,157743,6314,6261
2010,10,Durango,40-44,50348,160878,150828,7997,7940
2010,10,Durango,45-49,43264,156970,141299,9773,9679
2010,11,Guanajuato,15-19,283715,38448,38391,669,669
2010,11,Guanajuato,20-24,258727,182527,181601,3756,3740
2010,11,Guanajuato,25-29,226866,327073,324847,7652,7620
2010,11,Guanajuato,30-34,217934,467309,458174,13171,13132
2010,11,Guanajuato,35-39,204833,552615,527406,19445,19341
2010,11,Guanajuato,40-44,172537,561823,509150,26847,26583
2010,11,Guanajuato,45-49,141581,539449,458378,33452,32934
2010,12,Guerrero,15-19,179377,32848,32789,626,626
2010,12,Guerrero,20-24,149236,133905,132992,3748,3715
2010,12,Guerrero,25-29,124677,222875,219301,7330,7282
2010,12,Guerrero,30-34,117755,307795,292606,12496,12432
2010,12,Guerrero,35-39,111523,360850,325759,18859,18691
2010,12,Guerrero,40-44,93826,355632,303397,24750,24349
2010,12,Guerrero,45-49,83857,362131,292255,31631,31002
2010,13,Hidalgo,15-19,132929,19105,19088,353,353
2010,13,Hidalgo,20-24,118810,91864,91562,1806,1795
2010,13,Hidalgo,25-29,108444,168094,167221,3806,3792
2010,13,Hidalgo,30-34,105961,232929,229416,6296,6225
2010,13,Hidalgo,35-39,102001,269002,260306,9181,9155
2010,13,Hidalgo,40-44,86125,263494,247881,12165,12094
2010,13,Hidalgo,45-49,74086,259210,233710,15518,15389
2010,14,Jalisco,15-19,347570,47123,47036,843,843
2010,14,Jalisco,20-24,335440,228322,226917,4650,4628
2010,14,Jalisco,25-29,301404,416833,413768,9039,8994
2010,14,Jalisco,30-34,282383,584134,574482,14327,14271
2010,14,Jalisco,35-39,274634,703942,682445,20941,20805
2010,14,Jalisco,40-44,231336,685979,646190,26773,26525
2010,14,Jalisco,45-49,194748,658671,595236,33421,32930
2010,15,Mexico,15-19,705520,104099,103929,2318,2317
2010,15,Mexico,20-24,679540,513725,510835,12898,12864
2010,15,Mexico,25-29,631918,909767,904410,24518,24434
2010,15,Mexico,30-34,623878,1259682,1242690,38159,38101
2010,15,Mexico,35-39,620002,1494992,1457235,53296,53115
2010,15,Mexico,40-44,519904,1438480,1371932,64233,63866
2010,15,Mexico,45-49,432068,1353529,1256534,76323,75649
2010,16,Michoacan de Ocampo,15-19,224016,34801,34741,689,687
2010,16,Michoacan de Ocampo,20-24,204010,151015,150245,3393,3377
2010,16,Michoacan de Ocampo,25-29,170022,256939,254850,6391,6364
2010,16,Michoacan de Ocampo,30-34,160558,357425,349664,10848,10825
2010,16,Michoacan de Ocampo,35-39,152212,422077,401918,16267,16146
2010,16,Michoacan de Ocampo,40-44,131203,434863,394051,22242,22020
2010,16,Michoacan de Ocampo,45-49,112678,432719,370173,27762,27237
2010,17,Morelos,15-19,85438,12679,12656,193,193
2010,17,Morelos,20-24,79085,56218,55968,998,998
2010,17,Morelos,25-29,70263,98739,98267,1922,1915
2010,17,Morelos,30-34,68418,138306,136389,3480,3472
2010,17,Morelos,35-39,68647,166816,162588,5050,5031
2010,17,Morelos,40-44,59462,167372,159266,6862,6826
2010,17,Morelos,45-49,51372,162667,150446,8381,8307
2010,18,Nayarit,15-19,51819,9674,9671,147,147
2010,18,Nayarit,20-24,48058,40230,40102,746,746
2010,18,Nayarit,25-29,41639,66015,65614,1312,1305
2010,18,Nayarit,30-34,40275,90109,88726,2232,2216
2010,18,Nayarit,35-39,38847,103602,100505,3162,3145
2010,18,Nayarit,40-44,32656,99516,94400,4253,4221
2010,18,Nayarit,45-49,28566,98880,90644,5667,5612
2010,19,Nuevo Leon,15-19,193843,29391,29353,467,466
2010,19,Nuevo Leon,20-24,193743,129747,129182,2177,2162
2010,19,Nuevo Leon,25-29,186411,240514,239733,4172,4160
2010,19,Nuevo Leon,30-34,188299,354212,352648,6528,6500
2010,19,Nuevo Leon,35-39,187621,430750,427451,9285,9266
2010,19,Nuevo Leon,40-44,159067,409554,403398,11082,11040
2010,19,Nuevo Leon,45-49,129861,366244,356140,12788,12711
2010,20,Oaxaca,15-19,202341,29176,29124,446,446
2010,20,Oaxaca,20-24,166477,131167,130559,2489,2464
2010,20,Oaxaca,25-29,145219,233167,230885,5368,5349
2010,20,Oaxaca,30-34,140310,326730,315992,9753,9694
2010,20,Oaxaca,35-39,131087,381274,355369,14980,14893
2010,20,Oaxaca,40-44,111536,386514,342381,21310,21134
2010,20,Oaxaca,45-49,100016,403714,336877,29924,29554
2010,21,Puebla,15-19,299937,44809,44751,1000,1000
2010,21,Puebla,20-24,267629,210767,209799,5540,5513
2010,21,Puebla,25-29,236065,375886,372920,11357,11323
2010,21,Puebla,30-34,225794,513088,500883,19048,18989
2010,21,Puebla,35-39,210747,586841,556442,27167,27019
2010,21,Puebla,40-44,176275,578257,523409,34590,34319
2010,21,Puebla,45-49,149258,565349,483627,43004,42361
2010,22,Queretaro,15-19,93109,11485,11455,207,207
2010,22,Queretaro,20-24,87044,57674,57369,1061,1061
2010,22,Queretaro,25-29,80454,107865,107236,2258,2258
2010,22,Queretaro,30-34,76560,153461,150868,3751,3739
2010,22,Queretaro,35-39,72269,181515,174807,5610,5580
2010,22,Queretaro,40-44,60140,181553,167546,7474,7411
2010,22,Queretaro,45-49,48709,172411,150697,9278,9162
2010,23,Quintana Roo,15-19,61735,10837,10831,174,174
2010,23,Quintana Roo,20-24,65707,52692,52452,1060,1056
2010,23,Quintana Roo,25-29,63480,88451,87901,1986,1979
2010,23,Quintana Roo,30-34,58892,117295,115380,3021,3001
2010,23,Quintana Roo,35-39,53453,129830,125822,4100,4068
2010,23,Quintana Roo,40-44,41333,117299,110746,4830,4794
2010,23,Quintana Roo,45-49,30916,101891,92120,5740,5624
2010,24,San Luis Potosi,15-19,132670,18050,18022,304,303
2010,24,San Luis Potosi,20-24,113142,82402,82100,1781,1767
2010,24,San Luis Potosi,25-29,100157,150609,149515,3505,3496
2010,24,San Luis Potosi,30-34,95224,213242,208566,5946,5905
2010,24,San Luis Potosi,35-39,92260,259498,246845,9013,8960
2010,24,San Luis Potosi,40-44,80143,267463,242642,12509,12414
2010,24,San Luis Potosi,45-49,68988,264233,226914,15617,15381
2010,25,Sinaloa,15-19,132440,21240,21222,323,323
2010,25,Sinaloa,20-24,118968,87798,87366,1387,1369
2010,25,Sinaloa,25-29,104524,155451,154645,2717,2711
2010,25,Sinaloa,30-34,104358,227125,225053,4555,4544
2010,25,Sinaloa,35-39,104591,271975,267264,6745,6709
2010,25,Sinaloa,40-44,89371,259737,251416,8630,8559
2010,25,Sinaloa,45-49,77044,251544,237228,11291,11146
2010,26,Sonora,15-19,120487,20622,20598,414,412
2010,26,Sonora,20-24,110422,90220,89778,1853,1853
2010,26,Sonora,25-29,101830,158036,157056,3228,3215
2010,26,Sonora,30-34,101815,223086,220634,5089,5065
2010,26,Sonora,35-39,99727,256346,251730,6929,6895
2010,26,Sonora,40-44,85905,242604,235688,7974,7931
2010,26,Sonora,45-49,74079,228745,218715,9730,9652
2010,27,Tabasco,15-19,108697,18569,18554,318,317
2010,27,Tabasco,20-24,104632,85861,85426,1634,1627
2010,27,Tabasco,25-29,97425,150750,149575,3304,3301
2010,27,Tabasco,30-34,91644,199196,195126,5120,5102
2010,27,Tabasco,35-39,85966,227065,217439,7296,7270
2010,27,Tabasco,40-44,69423,215438,198802,9662,9575
2010,27,Tabasco,45-49,58632,212310,186903,12820,12686
2010,28,Tamaulipas,15-19,140842,23106,23079,432,432
2010,28,Tamaulipas,20-24,135728,104254,103839,1992,1986
2010,28,Tamaulipas,25-29,129214,188712,187781,3938,3923
2010,28,Tamaulipas,30-34,128793,262473,260129,5963,5958
2010,28,Tamaulipas,35-39,125968,303161,297947,8163,8136
2010,28,Tamaulipas,40-44,107728,290623,281534,9804,9766
2010,28,Tamaulipas,45-49,89001,265583,251520,11931,11810
2010,29,Tlaxcala,15-19,58249,8336,8317,172,172
2010,29,Tlaxcala,20-24,53666,41278,41103,943,942
2010,29,Tlaxcala,25-29,50039,76190,75821,2035,2032
2010,29,Tlaxcala,30-34,48533,104762,103549,3339,3329
2010,29,Tlaxcala,35-39,44946,117410,114605,4419,4411
2010,29,Tlaxcala,40-44,37648,115018,109064,5690,5667
2010,29,Tlaxcala,45-49,31124,110158,100237,6886,6843
2010,30,Veracruz ,15-19,368406,57004,56950,1010,1010
2010,30,Veracruz ,20-24,329256,249429,248486,5134,5096
2010,30,Veracruz ,25-29,295419,438435,435040,10491,10449
2010,30,Veracruz ,30-34,289862,600794,587758,17268,17206
2010,30,Veracruz ,35-39,288935,720372,689167,26519,26385
2010,30,Veracruz ,40-44,256331,739302,685199,35790,35541
2010,30,Veracruz ,45-49,221722,729626,650047,46467,45923
2010,31,Yucatan,15-19,93802,11827,11812,160,159
2010,31,Yucatan,20-24,91240,57578,57363,864,864
2010,31,Yucatan,25-29,81047,106733,106127,1938,1931
2010,31,Yucatan,30-34,77435,152235,149739,3419,3394
2010,31,Yucatan,35-39,74401,181155,175238,4969,4954
2010,31,Yucatan,40-44,59875,174141,162660,6667,6626
2010,31,Yucatan,45-49,52233,175395,157056,8623,8539
2010,32,Zacatecas,15-19,73722,10881,10873,210,210
2010,32,Zacatecas,20-24,68164,50817,50566,1136,1122
2010,32,Zacatecas,25-29,56880,86440,86031,2140,2135
2010,32,Zacatecas,30-34,55744,126026,124216,3815,3812
2010,32,Zacatecas,35-39,52434,147468,142469,5371,5354
2010,32,Zacatecas,40-44,46557,154398,143031,7879,7811
2010,32,Zacatecas,45-49,38676,149801,130422,9708,9548
